obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
209,"
								（香港提货）宝马庄园干红葡萄酒2017期酒",Palmer 2017,"
												100%
										",0,近期售出数 11,1698,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,"
											中高","
											饱满",  ,  ,  ,6238299
210,"
								（香港提货）宝得根城堡干红葡萄酒2017期酒",Pontet Canet 2017,"
												100%
										",0,近期售出数 18,698,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6239018
211,"
								（香港提货）（1.5公升特別版）花妃城堡干红葡萄酒2017期酒",Fleur Cardinale 2017,"
												100%
										",0,近期售出数 5,528,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											1500ML",  ,  ,"
											中高","
											饱满",  ,  ,  ,6238326
212,"
								（香港提货）克莱蒙教皇堡干红葡萄酒2017期酒",Pape Clement 2017,"
												100%
										",0,近期售出数 20,588,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6238386
213,"
								（香港提货）玫瑰山庄干红葡萄酒2017期酒",Montrose 2017,"
												100%
										",0,近期售出数 19,848,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238930
214,"
								多米诺梅洛干红葡萄酒-6支装",  ,"
												90%
										",5,近期售出数 193,360,"
																红葡萄酒 干红","
																100%梅洛(Merlot)","
																2012","
																美国(USA) 加州(California)","
																美国优质酒庄","
																13.0%","
																750ml","
																果香","
																深宝石红","
																中高","
																饱满","
																30分钟","
																红肉、牛排、野味、奶酪",  ,6207946
215,"
								*弗尔拉德宫甄选优质雷司令白葡萄酒*",SCHLOSS VOLLRADS RIESLING Qualitatswein Edition,"
												100%
										",5,近期售出数 233,559,"
											白葡萄酒 半甜白","
											100%雷司令(Riesling)",  ,"
											德国(Germany) 莱茵高(Rheingau)","
											特定产区优质酒","
											0.125","
											750ml","
											特有的热带水果以及青苹果、桃子、温柏的芳香层层溢出","
											清澈","
											中低","
											清爽","
											Best of Riesling 2016, 89分                    Falstaff Wine Guide 2016， 89分                         Gault Millau, 87分","
											可搭配多口味食物，酱汁浓郁的猪排或鸡排，或者辛辣的菜肴，本款酒都能在突出美味食物的同时，保持自己独有的风味。","
											无",6230616
216,"
								*麦威廉果木甜白葡萄酒*",  ,"
												100%
										",0,近期售出数 10,118,"
											白葡萄酒 甜白","
											戈多、琼瑶浆、白芳蒂娜",  ,"
											澳大利亚(Australia) 东南澳(South Eastern Australia)",  ,"
											9%","
											750","
											热带水果及柑橘类水果","
											稻杆黄","
											中","
											圆润",  ,"
											沙拉、水果甜点",  ,6235713
217,"
								【名庄】拉古斯副牌干红葡萄酒2010",Lacoste Borie,"
												100%
										",0,近期售出数 17,299,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon)、美乐(Merlot)、品丽珠(Cabernet Franc)",  ,"
											法国(France) 波尔多(Bordeaux)","
											五级庄副牌",  ,"
											750ML","
											覆盆子、红莓、香料","
											宝石红色",  ,"
											饱满","
											60分钟",  ,  ,6230600
218,"
								塔伦达山莎当妮白葡萄酒（古典装）",Tanunda Hill Chardonnay,"
												100%
										",0,近期售出数 39,218,"
											白葡萄酒 干白","
											100%霞多丽(Chardonnay)","
											2011","
											澳大利亚(Australia) 南澳(South Australia)","
											澳大利亚优质酒庄","
											12.00%","
											750ml",  ,"
											淡柠檬黄","
											中低","
											清爽","
											2014年获得中国环球葡萄酒及烈酒大奖-金奖。2014年获得WINE100葡萄酒大赛银奖。","
											糕点海鲜等","
											6个月",6207576
219,"
								杰卡斯解百纳赤霞珠红葡萄酒750ml*2（又名：杰卡斯赤霞珠干红葡萄酒）",Jacobs Creek Classic Cabernet Sauvignon,"
												100%
										",0,近期售出数 79,129,"
																红葡萄酒 干红","
																赤霞珠(Cabernet Sauvignon)","
																2012","
																澳大利亚(Australia) 南澳(South Australia)","
																澳大利亚优质酒庄","
																13.7%","
																750ml","
																浓郁的李子酱，青椒，黑醋栗，大黄的香气","
																深红色","
																中","
																平衡","
																30分钟","
																红肉类食物","
																无",6233126
220,"
								百鸟园卡本尼苏维翁红葡萄酒2013",Aviary Vineyard Cabernet Sauvignon,"
												100%
										",0,近期售出数 60,228,"
											红葡萄酒 干红","
											90%赤霞珠(Cabernet Sauvignon),7%美乐(Merlot),3%西拉/设拉子(Syrah/Shiraz)",  ,"
											美国(USA) 加州(California)","
											AVA","
											13.9%","
											750ml","
											李子干、黑莓酱、黑醋栗、樱桃，杏仁、烟熏","
											深石榴红","
											中","
											饱满","
											30分钟","
											红肉类食物",  ,6221553
221,"
								姬妲娜嫚姹妮娅雪莉酒",Manzanilla La Gitana,"
												90%
										",13,近期售出数 117,190,"
											加强葡萄酒 干型雪莉酒","
											100%帕罗米诺(Palomino)",  ,"
											西班牙(Spain) 安达路西亚(Andalusia)","
											DO","
											15.00%","
											750ml","
											青苹果,咸杏仁,酵母,干柠檬皮，茴香籽等等)","
											浅稻草黄","
											重","
											清雅","
											#32 on WS Top 100 List 2013; International Wine Challenge, 2014: Gold","
											生蚝,海鲜，贝类，虾蟹类,蔬果沙拉，坚果，腌渍橄榄,西班牙火腿,奶酪等等","
											5年",6205767
222,"
								蒙贝城堡干红葡萄酒",Chateau Les Mauberts,"
												80%
										",21,近期售出数 5550,268,"
											红葡萄酒 干红","
											50%梅洛(Merlot)、25%赤霞珠(Cabernet Sauvignon)、25%品丽珠(Cabernet Franc)",  ,"
											法国(France) 波尔多(Bordeaux)","
											AOC","
											13.5%","
											750ml","
											果酱、辛香料","
											深宝石红色","
											中高","
											饱满","
											2012年份蒙特城堡获得2013年度巴黎竞赛金奖（Gold medal at Concours Général Agricole in 2013）","
											烤羊肉、烤鸡、芝士",  ,6215255
223,"
								小龙船白葡萄酒  6支整箱装  750ml*6",Grand Bateau Blanc,"
												80%
										",2,近期售出数 24,499,"
																白葡萄酒 干白","
																50%白苏维翁(Sauvignon Blanc) 50%沙美龙(Semillon)",  ,"
																法国(France) 波尔多(Bordeaux)","
																AOC","
																 12.5%","
																750ml","
																青柠檬、香草、牛油","
																稻黄","
																中低","
																清雅","
																即开即饮","
																开胃酒，新鲜鱼类",  ,6230867
224,"
								莫维多丹魄干红葡萄酒",Murviedro Coleccion Tempranillo,"
												90%
										",3,近期售出数 94,139,"
											红葡萄酒 干红","
											100%丹魄(Tempranillo)","
											2011","
											西班牙(Spain) 瓦伦西亚(Valencia)","
											瓦伦西亚法定地区餐酒","
											13.0%","
											750ml","
											红色水果的成熟香气，伴有茴香和香料味","
											深樱桃红色","
											中","
											圆润","
											2011德国国际葡萄酒大奖赛 银奖","
											适宜搭配红肉，焗饭、奶酪以及餐前点心。","
											无",5190368
225,"
								*贝尔莱典藏干红葡萄酒(原名贝尔莱特级珍藏干红葡萄酒）（里奥哈）*",Beronia Gran Reserva,"
												100%
										",218,近期售出数 11069,358,"
											红葡萄酒 干红","
											92%丹魄  6%格拉西亚诺2%马埃罗","
											0000","
											西班牙(Spain) 里奥哈(Rioja)","
											里奥哈法定产区 D.O.C","
											13.5%","
											750ml","
											樱桃、无花果、肉豆蔻、香料、丁香、巧克力坚果","
											宝石红色","
											中高","
											平衡","
											30-60分钟","
											红肉类食物、野味、奶酪","
											24个月",5152049
226,"
								美人鱼苏维翁白干白葡萄酒",Stormhoek Sauvignon Blanc,"
												80%
										",9,近期售出数 99,79,"
											白葡萄酒 干白","
											长相思(Sauvignon Blanc)","
											2013","
											南非(South Africa) 西开普产地(Western Cape)","
											南非优质酒庄","
											12.0%","
											750ml","
											菠萝、青苹果","
											金黄色","
											中高","
											清爽","
											20分钟","
											海鲜类，鸡肉类食物",  ,5189057
227,"
								金标红牛高分组合",  ,"
												100%
										",1,近期售出数 162,456,"
																红葡萄酒 干红","
																85%慕尔韦度(Monastrell)、15%丹魄(Tempranillo)","
																0000","
																西班牙(Spain) 穆尔西亚(Murcia)","
																Bullas D.O.P","
																14%","
																750ml","
																灌木丛、野蔷薇、野味、蓝莓","
																深红色","
																中","
																圆润","
																30分钟","
																红肉，野味，烧烤，芝士","
																6个月",6227699
228,"
								【名庄】活灵魂红葡萄酒2010",Almaviva Puente Alto Chile,"
												100%
										",0,近期售出数 22,1299,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon),佳美娜(Carmenere)",  ,"
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄",  ,"
											750ml","
											黑樱桃、越桔、黑莓","
											宝石红","
											中高","
											平衡","
											2个小时","
											烤牛排、烤猪肋",  ,6221472
229,"
								嘉维斯莎当妮白葡萄酒",Jarvis Estate Chardonnay,"
												80%
										",1,近期售出数 34,288,"
											白葡萄酒 干白","
											霞多丽(Chardonnay)",  ,"
											澳大利亚(Australia) 西澳(Western Australia)","
											澳大利亚优质酒庄","
											13.0%","
											750ml","
											油桃、甜瓜、柑橘香气柔合了法国木桶气息","
											稻草色","
											中低","
											清雅","
											即开即饮","
											海鲜、湖蟹/海蟹","
											经橡木桶",6220050
230,"
								【名庄】宝马庄园副牌红葡萄酒2008",Alter Ego De Palmer 2012,"
												100%
										",0,近期售出数 9,579,"
											红葡萄酒 干红","
											赤霞珠 (Cabernet Sauvignon),美乐(Merlot),小维多(Petit Verdot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											三级庄副牌","
											0.13","
											750ML","
											闻起来有雪杉，石墨，黑醋栗，烟草叶和黑橄榄的味道","
											宝石红","
											中高","
											平衡","
											60分钟","
											肉类、芝士、鹅肝",  ,6236846
231,"
								格兰图卡经典其安蒂干红",CHIANTI CLASSICO DOCG,"
												100%
										",0,近期售出数 671,158,"
											红葡萄酒 干红",  ,  ,"
											意大利(Italy) 托斯卡纳(Tuscany)","
											意大利优质酒庄",  ,"
											750ml","
											黑梅、樱桃","
											宝石红","
											中","
											饱满","
											1个小时",  ,"
											无",6236920
232,"
								巴黎范儿赤霞珠干红—6支装",  ,"
												80%
										",22,近期售出数 500,259,"
																红葡萄酒 干红","
																100%赤霞珠(Cabernet Sauvignon)","
																2012","
																法国(France) 其他","
																法国餐酒","
																13.0%","
																750ml","
																黑加仑，红色新鲜水果","
																红宝石色","
																中","
																饱满","
																2013年度法国最具性价比金奖 MEDAILLE OR BEST VALUE FRANCE 2013","
																红肉，日餐",  ,6227535
233,"
								三只猴子桃红葡萄酒（猴年款酒）",THR3 MONKEYS ROSE WINE,"
												100%
										",20,近期售出数 177,198,"
											桃红葡萄酒 半甜桃红","
											100%丹魄(Tempranillo)","
											0000","
											西班牙(Spain) 其他","
											西班牙优质酒庄","
											12.0%","
											750ml","
											红色水果如樱桃的香气","
											浅粉色","
											中低","
											清雅","
											即开即饮","
											甜点， 派， 沙拉","
											无",6210669
234,"
								灰燕百露香起泡葡萄酒-双支组合（桃红+干白）",  ,"
												100%
										",0,近期售出数 4722,78,"
																起泡酒 干起泡酒","
																阿依伦(AIREN)",  ,"
																西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)",  ,"
																11%vol","
																750ml","
																坚果蜂蜜香","
																浅黄色","
																中","
																清爽","
																0","
																海鲜","
																无",6233853
235,"
								【中级庄】爱萨克庄园红葡萄酒",CHATEAU D ARSAC,"
												80%
										",3,近期售出数 670,239,"
											红葡萄酒 干红","
											美乐(Merlot),赤霞珠(Cabernet Sauvignon)",  ,"
											法国(France) 波尔多(Bordeaux)","
											AOC","
											0.135","
											750ml","
											初闻清新，显现出黑醋栗与黑加仑的香味，摇动后，香草和烤面包的气息混合着香草的味道溢出","
											深紫红色酒裙","
											中","
											饱满","
											30-60分钟","
											烤野味和红肉配上浓郁的酱汁、亦或者是扒猪排也会是不错的选择。","
											12-18个月",6228097
236,"
								风之语部落夏多内白葡萄酒",Trivento Tribu Chardonnay,"
												100%
										",13,近期售出数 84,79,"
											白葡萄酒 半干白","
											霞多丽(Chardonnay)","
											2011","
											阿根廷(Argentina) 门多萨(Mendoza)","
											阿根廷优质酒庄","
											13.0%","
											750ml","
											融合了菠萝、香蕉与柠檬酸的味道","
											麦秆黄","
											中低","
											清爽","
											15分钟","
											白肉类","
											无",5172615
237,"
								大满胜甜白葡萄酒",Villa Dria Gascogne Gros Manseng,"
												90%
										",23,近期售出数 318,68,"
											白葡萄酒 甜白","
											大芒森(Gros Menseng)","
											2011","
											法国(France) 西南产区(Sud-Ouest)","
											IGP","
											11.5%","
											750ml","
											荔枝芳香，混有玫瑰花瓣和微微的辛辣香气","
											嫩绿色","
											中","
											圆润","
											即开即饮","
											甜点、奶酪以及异国菜肴","
											无",5181247
238,"
								爱芬多马尔贝克干红葡萄酒",El Fundo Malbec,  ,  ,  ,  ,"
											红葡萄酒 干红","
											100%马尔贝克(Malbec)","
											2012","
											阿根廷(Argentina) 门多萨(Mendoza)","
											阿根廷优质酒庄","
											13.1%","
											750ml","
											黑莓、红色水果、辛香料","
											李子红","
											中高","
											圆润","
											即开即饮","
											意大利面、烤红肉、家禽、","
											NV",5169532
239,"
								弗莱斯凯罗红葡萄酒半甜型",Freschello Vino Piu Sweet Italy,"
												80%
										",14,近期售出数 335,65,"
											红葡萄酒 半甜红","
											美乐(Merlot),拉宝索(Raboso)",  ,"
											意大利(Italy) 威尼托(Veneto)","
											VDT","
											10.0%","
											750ml","
											果香","
											宝石红","
											中","
											平衡","
											15-20分钟","
											适合与任何菜肴搭配","
											无",5187592
240,"
								玛德莱娜酒庄干红葡萄酒2011（名庄）",Clos La Madeleine 2011,"
												80%
										",1,近期售出数 203,388,"
											红葡萄酒 干红","
											60%梅洛（Merlot)、40%品丽珠（Cabernet Franc）",  ,"
											法国(France) 波尔多(Bordeaux)","
											Saint Emilion Grand Cru","
											12%","
											750ml","
											李子、桑葚、黑莓","
											宝石红色","
											中","
											平衡","
											60分钟","
											适宜搭配红肉,各类烧烤,鹅肝酱和奶酪","
											12-18个月",6215169
241,"
								黄尾袋鼠签名版珍藏西拉红葡萄酒750ml*6  整箱6支装 ",yellow tail reserve shiraz,"
												100%
										",26,近期售出数 343,558,"
																红葡萄酒 半干红",  ,  ,"
																澳大利亚(Australia) 东南澳(South Eastern Australia)",  ,"
																14%vol","
																750ml",  ,  ,  ,"
																饱满",  ,  ,  ,6232704
242,"
								杜夫泰斯格拉夫白葡萄酒",Dourthe Croix Des Bouquets Graves,"
												100%
										",10,近期售出数 351,700,"
											白葡萄酒 干白","
											70%赛美蓉(Semillon),30%长相思(Sauvignon Blanc)","
											2012","
											法国(France) 波尔多(Bordeaux)","
											格拉芙AOC","
											12.0%","
											750ml","
											香草，西柚","
											稻草黄","
											中","
											饱满","
											即开即饮","
											海鲜类食物","
											12个月",6204994
243,"
								拉图嘉利庄园干红葡萄酒2010（名庄）",Chateau La Tour Carnet,"
												100%
										",0,近期售出数 34,458,"
											红葡萄酒 干红","
											40%赤霞珠(Cabernet Sauvignon)、52%梅洛（Merlot)、5%品丽珠(Cabernet Franc)、3%小维多(Petit Verdot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											波尔多梅多克1855分级列级酒庄之4级列庄(4st GCC en 1855)","
											14.0%","
											750ML","
											木炭、烟熏、白巧克力、蓝莓、黑莓、石墨、欧亚甘草","
											深宝石红色","
											中高","
											饱满","
											60分钟","
											烤羊肉、奶酪等",  ,6235743
244,"
								杜夫一号白葡萄酒2014",Dourthe NO1 Bordeaux Blanc,"
												100%
										",7,近期售出数 515,498,"
											白葡萄酒 干白","
											100%白苏维翁（Sauvignon Blanc）",  ,"
											法国(France) 波尔多(Bordeaux)","
											AOC","
											12%","
											750ml","
											花香、热情果、番石榴","
											浅柠檬黄","
											中低","
											清爽","
											即开即饮","
											海鲜、水果","
											6个月",6214637
245,"
								哈特城堡干红葡萄酒",Chateau Haute Vallee,"
												90%
										",6,近期售出数 31246,258,"
											红葡萄酒 干红","
											75%梅洛(Merlot)25%赤霞珠(Cabernet Sauvignon)",  ,"
											法国(France) 波尔多(Bordeaux)","
											波尔多 A.O.C","
											0.12","
											750ml","
											森木气息，黑色水果","
											深宝石红色","
											中","
											圆润","
											30分钟","
											红肉、家禽、奶酪、白肉、野味","
											6个月",5200655
246,"
								家宝玉马德拉3年利口葡萄酒",Justino s Vinho Madeira Fine Medium Dry 3 Years Old,"
												90%
										",10,近期售出数 89,155,"
											加强葡萄酒 马德拉","
											内格拉(Tinta Negra)",  ,"
											葡萄牙(Portugal) 其他","
											DO","
											19.0%","
											750ml","
											香气浓郁怡人，同时还伴有一丝清新度。收口悠长，回味中带有可可，葡萄，苹果与核桃的风味。","
											金黄色","
											重","
											圆润","
											即开即饮","
											特别适合搭配大闸蟹和月饼。也是各种甜品的理想搭配或用作餐前开胃酒。",  ,6205823
247,"
								蒙特斯欧法梅洛干红（又名：蒙特斯欧法美乐） 双支装  750ML*2",Montes Alpha Merlot,"
												100%
										",0,近期售出数 16,309,"
																红葡萄酒 干红","
																90%美乐(Merlot)、10%卡门尼雅(Carmenere)","
																0000","
																智利(Chile) 中央山谷(Central Valley)",  ,"
																14.5%","
																750ml","
																果香，红莓、黑樱桃、黑胡椒和烟草","
																深宝石红色","
																重","
																饱满","
																30分钟","
																烤肉、野味、禽类、比萨和意大利面","
																12个月",6230899
248,"
								黄尾袋鼠粉红起泡葡萄酒6支装",Yellow Tail Bubbles Rose,"
												100%
										",0,近期售出数 8703,468,"
																起泡酒 干起泡酒","
																赛美蓉（Semillon）、脱拉米糯（Traminer）、西拉（shiraz）、方蒂耐（Frontignac)","
																0000","
																澳大利亚(Australia) 新南威尔士(New South Wales)","
																澳大利亚优质酒庄","
																12%","
																750ml","
																草莓 香料 ","
																淡粉色","
																中","
																清雅","
																15分钟","
																芝士 甜品",  ,6224325
249,"
								贝马格雷-克莱雅城堡干红葡萄酒",Chateau Cleyrac,"
												100%
										",2,近期售出数 3794,69,"
											红葡萄酒 干红","
											100%梅洛(Merlot)","
											2012","
											法国(France) 波尔多(Bordeaux)","
											波尔多AOC","
											13%","
											750ml","
											红色水果、皮革、烟熏","
											深红色","
											中",  ,"
											60分钟","
											红肉、熟食、蔬菜","
											无",5186732
250,"
								爱之湾莫斯卡托阿斯蒂低醇低泡葡萄酒",Lune Nuove Moscato D'asti DOCG,"
												100%
										",0,近期售出数 16,89,"
											起泡酒 甜起泡酒","
											麝香(Muscat/Moscato)",  ,"
											意大利(Italy) 皮埃蒙特(Piemonte)","
											DOCG","
											5.5%vol","
											750ml","
											白花，蜜桃，雪莉，荔枝等果香和清新花香","
											浅草黄色","
											中高","
											清雅","
											即开即饮","
											作为开胃酒及搭配甜点口味更佳","
											无",6229556
251,"
								马克思莫利托酒庄日冕园限量晚摘雷司令干白葡萄酒750ML",  ,"
												100%
										",0,近期售出数 33,359,"
											白葡萄酒 干白","
											100%雷司令",  ,"
											德国(Germany) 莫塞(Mosel)",  ,"
											0.115","
											750","
											杏、油桃和蜜桃香气",  ,  ,"
											圆润",  ,"
											红洋葱青椒薄荷佐鸡肉沙拉； 香煎皇家鲷鱼配地中海时蔬和马铃薯丸。",  ,6232339
252,"
								雅克劳斯酒园慕斯卡黛白葡萄酒",Muscat de Patras 722 Sweet White Wine,"
												100%
										",16,近期售出数 176,138,"
											白葡萄酒 甜白","
											100%麝香(Muscat/Moscato)","
											0000","
											希腊(Greece) 佩特雷(Patras)","
											AOC","
											15%","
											750ml","
											杏，桃","
											金黄","
											中低","
											清爽","
											即开即饮","
											甜点","
											无",5172178
253,"
								舒特家族赤霞珠干红葡萄酒750ml",SUTTER HOME Cabernet Sauvignon,"
												80%
										",10,近期售出数 383,159,"
											红葡萄酒 干红","
											100%赤霞珠(Cabernet Sauvignon)","
											0000","
											美国(USA) 加州(California)",  ,"
											12.5%","
											750ml","
											新鲜红樱桃和甜香草，淡淡的草药味带来美妙的芳香","
											深红色","
											中","
											圆润","
											即开即饮","
											搭配鸡肉，红肉，野味，意大利面。",  ,5144401
254,"
								士琅迪蒙帕塞诺阿布鲁佐红葡萄酒",Solandia Montepulciano D'Abruzzo DOC,"
												80%
										",4,近期售出数 96,118,"
											红葡萄酒 半干红","
											100% MONTEPULCIANO D'ABRUZZO",  ,"
											意大利(Italy) 阿布鲁佐(Abruzzo)","
											DOC","
											12.5%","
											750ML",  ,  ,"
											中高","
											清雅",  ,  ,  ,6224095
255,"
								【名庄】侯伯王副牌红2010（克兰斯侯伯王）",Le Clarence de Haut-Brion 2010,"
												100%
										",0,近期售出数 14,1568,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc),小味多(Petit Verdot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											1855一级庄副牌","
											14.50%","
											750ml","
											草莓、香草","
											紫红色","
											中高",  ,"
											30-60分钟","
											奶酪、肉类","
											12-18个月",5200177
256,"
								劳伦米格尔父子系列西拉歌海娜干红葡萄酒-双支装",Laurent Miquel Pere et Fils Syrah Grenache,"
												90%
										",6,近期售出数 180,229,"
																红葡萄酒 半干红","
																70%西拉(Syrah)、30%歌海娜(Grenache)","
																2013","
																法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
																IGP","
																13%","
																750ml","
																甘草、黑果香","
																紫红色","
																中","
																饱满","
																30分钟","
																可搭配带汁肉类，野味、味道浓郁的菜肴和奶酪。","
																6个月",6225139
257,"
								新玛利珍匣梅洛卡本妮苏维翁红葡萄酒",Villa Maria New Zealand Merlot Cabernet Sauvignon Hawkes Bay,"
												70%
										",10,近期售出数 399,179,"
											红葡萄酒 干红","
											美乐(Merlot),赤霞珠(Cabernet Sauvignon)","
											2011","
											新西兰(New Zealand) 霍克湾(Hawke's Bay)","
											新西兰优质酒庄","
											13.0%","
											750ml","
											既有红樱桃、覆盆子和黑醋栗的果香又混合了雪松香料和烟草叶的淡淡清香","
											樱桃色","
											中高","
											清雅","
											15-30分钟","
											适宜与意大利面食、奶酪、红肉和烤鸡搭配食用","
											12个月",5181313
258,"
								【名庄】力士金城堡副牌干红葡萄酒2015（又名力士金骑士）",Chevalier De Lascombes 2015,"
												100%
										",0,近期售出数 144,329,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)","
											二级庄副牌",  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6234956
259,"
								巴黎范儿希拉桃红葡萄酒",So Parisian Syrah Rose,"
												90%
										",46,近期售出数 1545,218,"
											桃红葡萄酒 干型桃红","
											100%西拉(Syrah)","
											2012","
											法国(France) 其他","
											法国餐酒","
											12.0%","
											750ml","
											覆盆子，草莓","
											三文鱼粉红色","
											中","
											清爽","
											即开即饮","
											沙拉，寿司",  ,5200159
260,"
								【名庄】拉图嘉利城堡2012 375ml 6支装",  ,"
												100%
										",0,近期售出数 6,879,"
																红葡萄酒 干红","
																赤霞珠(Cabernet Sauvignon)、梅洛(Merlot)、品丽珠（Cabernet Sauvignon)、小维多（Petit Verdot)","
																2012","
																法国(France) 波尔多(Bordeaux)","
																波尔多梅多克1855分级列级酒庄之4级列庄(4th GCC en 1855)","
																13%","
																375ML","
																木炭、烟熏、白巧克力、蓝莓、黑莓、石墨、欧亚甘草","
																宝石红","
																中高","
																饱满","
																60分钟","
																红肉类食物，牛排，羊排，奶酪，烧烤。","
																12-18个月",6237222
261,"
								【名庄】奈宁城堡干红2014（又名列兰）",Chateau Nenin,"
												100%
										",0,近期售出数 8,419,"
											红葡萄酒 干红","
											品丽珠(cabernet franc),美乐(Merlot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											波美侯名庄","
											13.5%vol","
											750ML","
											浆果，醋栗，蓝莓","
											深红色","
											中高","
											饱满","
											1小时","
											牛排、烤乳猪、肉末意大利面等",  ,6238460
262,"
								干露侯爵设拉子",Marques de Casa Concha Syrah,"
												100%
										",0,近期售出数 7,289,"
											红葡萄酒 干红","
											设拉子",  ,"
											智利(Chile) 中央山谷(Central Valley)",  ,  ,"
											750ml","
											黑梅、樱桃","
											宝石红","
											中","
											饱满",  ,"
											猪肉、肉冻或意面；羊肉或配有普罗旺斯香菜的烤全羊；风味地中海式羊肉蔬菜炖汤；鸟肉、鸭肉或鹅肉搭配莓果类；蜂蜜烤鸭和黑加仑，野鸡肉配樱桃，鸵鸟肉配三椒馅饼和香油醋。","
											无",6237231
263,"
								（香港提货）玛歌酒庄红葡萄酒2017期酒",Margaux 2017,"
												100%
										",0,近期售出数 17,3088,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6239013
264,"
								（香港提货）爱士图尔干红葡萄酒2017期酒",Cos d'Estournel 2017,"
												100%
										",0,近期售出数 18,938,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238856
265,"
								（国内提货）爱士图尔干红葡萄酒2017期酒",Cos d'Estournel 2017,"
												100%
										",0,近期售出数 20,1368,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238876
266,"
								薄若莱新酒乔治杜博夫巴黎派对干红葡萄酒2016",Beaujolais Nouveaux George Du Boeuf La fete du nouveau,  ,  ,  ,  ,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 薄若莱(Beaujolais)",  ,"
											12%vol","
											750ml","
											红色系浆果","
											宝石红",  ,"
											清雅",  ,"
											烤肉，红烧肉，奶酪",  ,6228443
267,"
								歌得利安（布根地）天然高泡葡萄酒（又名：歌得利安天然高泡葡萄酒）",Claude Chonion-Vin Mousseux Brut,"
												100%
										",6,近期售出数 75,275,"
											起泡酒 干起泡酒","
											100%爱人(Airen)",  ,"
											法国(France) 勃艮第(Burgundy)","
											法国餐酒","
											11.5%","
											750ml","
											新鲜水果如苹果、香蕉的香气，伴随花香","
											浅黄带绿色调","
											中低","
											清爽","
											即开即饮","
											沙拉，海鲜","
											无",5198123
268,"
								加州乐事白葡萄酒（又名加州乐事Blend312白葡萄酒）",  ,"
												100%
										",0,近期售出数 1416,45,"
											白葡萄酒 干白",  ,  ,"
											美国(USA) 加州(California)","
											美国优质酒庄",  ,"
											762ml",  ,  ,"
											中","
											清雅","
											即开即饮","
											海鲜、水果",  ,6232043
269,"
								奔富150西拉干红葡萄酒",Penfolds Bin 150 Shiraz,"
												100%
										",4,近期售出数 231,526,"
											红葡萄酒 干红","
											西拉/设拉子(Syrah/Shiraz)",  ,"
											澳大利亚(Australia) 南澳(South Australia)",  ,  ,"
											750ml",  ,  ,  ,"
											清雅",  ,  ,  ,6215569
270,"
								【名庄】麒麟酒庄干红葡萄酒2015 ",Chateau Kirwan 2015 ,"
												100%
										",0,近期售出数 10,429,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ml",  ,  ,"
											中高","
											饱满",  ,  ,  ,6226049
271,"
								豪酒汇 威登庄园干红葡萄酒2015期酒（香港提货价，含国际运费）",Yclub Elite Vieux Chateau Certan 2015 HK Pick Up,"
												100%
										",0,近期售出数 24,1888,"
											其他 其他",  ,  ,"
											其他 其他",  ,  ,  ,  ,  ,  ,"
											清雅",  ,  ,  ,6227183
