"","id_yearbook","region","arid","year","vars","block","element","item","unit","value"
"67",5,"内蒙古","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",153872
"68",6,"辽宁","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",2674927
"69",7,"吉林","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",264697
"70",8,"黑龙江","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",1272637
"71",9,"上海","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",6637838
"72",10,"江苏","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",5729178
"73",11,"浙江","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",980966
"74",12,"安徽","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",1904669
"75",13,"福建","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",521448
"76",14,"江西","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",648484
"77",15,"山东","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",3075545
"78",16,"河南","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",450442
"79",17,"湖北","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",7893407
"80",18,"湖南","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",1050578
"81",19,"广东","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",6625775
"82",20,"广西","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",73132
"83",21,"海南","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",21861
"84",22,"重庆","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",572366
"85",23,"四川","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",2823202
"86",24,"贵州","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",259626
"87",25,"云南","非旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",518364
"88",26,"西藏","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",NA
"89",27,"陕西","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",7218211
"90",28,"甘肃","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",1296958
"91",29,"青海","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",468849
"92",30,"宁夏","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",35202
"93",31,"新疆","旱区省份",2015,"tech_trade_export_funds","技术交易","技术输出","金额","万元",30322
"94",1,"北京","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",11475286
"95",2,"天津","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",3307079
"96",3,"河北","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1453071
"97",4,"山西","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",972417
"98",5,"内蒙古","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1885989
"99",6,"辽宁","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",2312705
"100",7,"吉林","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",545214
"101",8,"黑龙江","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1076757
"102",9,"上海","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",5101282
"103",10,"江苏","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",10163396
"104",11,"浙江","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",2019061
"105",12,"安徽","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1696694
"106",13,"福建","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",3675993
"107",14,"江西","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1077100
"108",15,"山东","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",3865607
"109",16,"河南","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1276013
"110",17,"湖北","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",4949463
"111",18,"湖南","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1516117
"112",19,"广东","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",6521066
"113",20,"广西","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",576560
"114",21,"海南","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",281751
"115",22,"重庆","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1843373
"116",23,"四川","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",2932644
"117",24,"贵州","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1761018
"118",25,"云南","非旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1735786
"119",26,"西藏","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",169821
"120",27,"陕西","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",2985237
"121",28,"甘肃","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1181036
"122",29,"青海","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",471049
"123",30,"宁夏","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",286118
"124",31,"新疆","旱区省份",2015,"tech_trade_import_funds","技术交易","技术输入","金额","万元",1212578
